iter	MultiClass
0	0.8899714031
1	0.8206430697
2	0.7798506758
3	0.7487565416
4	0.7330205034
5	0.7263944462
6	0.7196269509
7	0.7161623245
8	0.709479608
9	0.7068300539
10	0.7033757907
11	0.7013505062
12	0.6996361471
13	0.6965187513
14	0.6944432013
15	0.6928076979
16	0.6905997353
17	0.6898230972
18	0.6873886512
19	0.6849570669
20	0.6841607006
21	0.6831105021
22	0.6818773881
23	0.6806178485
24	0.6796013691
25	0.6775953879
26	0.6762593046
27	0.6753150408
28	0.6742960679
29	0.6733234757
30	0.6719008427
31	0.6714948842
32	0.6704671877
33	0.6693879616
34	0.6683984523
35	0.6672470292
36	0.6660767335
37	0.6654021306
38	0.6642392721
39	0.6622741584
40	0.6613833831
41	0.6606094124
42	0.6599082532
43	0.6591842206
44	0.658110016
45	0.6576161699
46	0.657049659
47	0.6559711089
48	0.6551618711
49	0.6545238942
50	0.6540001583
51	0.6534172264
52	0.6528190773
53	0.6524095397
54	0.6521345205
55	0.6518586345
56	0.6514574674
57	0.6509575612
58	0.650339035
59	0.6498871953
60	0.6490578186
61	0.6483941896
62	0.6472225446
63	0.6466801163
64	0.6462190148
65	0.6452381671
66	0.6449158788
67	0.6440833192
68	0.6435721959
69	0.6432231711
70	0.642985907
71	0.6426225715
72	0.6421998172
73	0.641614483
74	0.6409368659
75	0.6404168586
76	0.639896395
77	0.6394959966
78	0.6392271779
79	0.6390726988
80	0.6388095978
81	0.6386234047
82	0.6380135684
83	0.637845631
84	0.6375099165
85	0.6372275491
86	0.6367770792
87	0.6360982606
88	0.6354877206
89	0.6352494019
90	0.6345716268
91	0.6342817059
92	0.6336046182
93	0.6333904353
94	0.6325692002
95	0.6325127359
96	0.6317633524
97	0.6312225786
98	0.6309213774
99	0.630754439
