iter	Passed	Remaining
0	382	37827
1	764	37465
2	1102	35638
3	1491	35796
4	1829	34769
5	2174	34069
6	2526	33565
7	2865	32955
8	3220	32565
9	3569	32121
10	3905	31596
11	4251	31180
12	4598	30772
13	4954	30437
14	5294	30002
15	5633	29575
16	6142	29987
17	6579	29973
18	7346	31320
19	7958	31834
20	8889	33443
21	9681	34323
22	10760	36023
23	11551	36579
24	12373	37120
25	13442	38259
26	14378	38875
27	15348	39468
28	16526	40460
29	17561	40977
30	18650	41512
31	19626	41706
32	20744	42117
33	21844	42404
34	23076	42855
35	24327	43248
36	25819	43962
37	26930	43938
38	27929	43684
39	29110	43666
40	30119	43342
41	30964	42760
42	31878	42257
43	32506	41372
44	33100	40456
45	33859	39748
46	34568	38981
47	35154	38084
48	35783	37243
49	36447	36447
50	37172	35714
51	37679	34780
52	38528	34166
53	39327	33501
54	39952	32688
55	40519	31836
56	41490	31300
57	42222	30574
58	42845	29774
59	43364	28909
60	43917	28078
61	44533	27294
62	45458	26697
63	46379	26088
64	47138	25382
65	47982	24718
66	48813	24042
67	49855	23461
68	50605	22735
69	51569	22101
70	52359	21386
71	53175	20679
72	53730	19872
73	54383	19107
74	54992	18330
75	55600	17557
76	56206	16788
77	56805	16022
78	57399	15258
79	57961	14490
80	58499	13722
81	59196	12994
82	59796	12247
83	60433	11511
84	61068	10776
85	61701	10044
86	62276	9305
87	62818	8566
88	63357	7830
89	64159	7128
90	64764	6405
91	65355	5683
92	65875	4958
93	66369	4236
94	66875	3519
95	67592	2816
96	68185	2108
97	68783	1403
98	69535	702
99	70428	0
